Leader in specified cat,Player,Team,Position,Age,Cap Hit,AAV,GP_perf,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %,GP_sal,G,A,P,PPG,Points_per_Million,xGF_percent_per_million
563,Jonathan Drouin,COL,L,29,825000.0,825000.0,79,1093.35,13.83987342,67.94,55.92,54.85,49.28,40.72,54.76,34.63,28.04,55.25,3.68,2.52,59.29,2.88,2.36,54.94,33.31,24.31,57.81,13.12,9.82,57.18,1.92,1.37,58.33,26.93,19.32,58.23,1.76,0.95,64.86,58.82,48.12,55.0,0.63,0.63,50,10.62,91.0,1.016,12.95,13.34,6.37,42.69,67.05,23.1,19.37,15.42,59.97,79,19,37,56,0.71,67.87878787878788,66.5939393939394
506,Wyatt Johnston,DAL,C,21,894167.0,1000417.0,82,1072.716667,13.08191057,67.79,55.88,54.82,47.15,39.04,54.7,33.0,26.57,55.4,2.91,2.41,54.74,3.13,2.22,58.47,32.72,23.49,58.21,13.54,9.4,59.02,1.51,1.4,51.92,25.58,18.79,57.65,1.57,0.67,70,57.36,49.85,53.5,0.32,0.73,30.77,8.81,90.95,0.998,10.01,11.52,8.61,45.36,53.75,20.64,17.73,18.79,52.34,82,32,33,65,0.79,64.97290629807371,58.445628173051844
384,Brandon Hagel,T.B,L,26,1500000.0,1500000.0,82,1217.183333,14.84369919,63.2,55.31,53.33,44.81,39.53,53.13,30.61,28.05,52.18,3.2,3.3,49.24,2.83,2.44,53.76,30.86,26.03,54.25,11.93,9.96,54.5,1.33,1.38,49.09,25.24,21.43,54.08,1.84,1.84,50,50.2,44.93,52.77,0.71,0.71,50,10.47,88.22,0.987,8.82,14.0,7.69,41.6,53.43,16.07,19.62,15.48,50.94,82,26,49,75,0.91,50.0,35.839999999999996
662,Stefan Noesen,CAR,R,32,762500.0,762500.0,81,820.7833333,10.13312757,69.81,45.1,60.75,50.0,32.46,60.64,32.16,22.08,59.3,2.92,1.61,64.52,2.93,2.04,58.9,29.53,20.1,59.5,11.99,9.06,56.94,1.83,0.66,73.53,23.39,14.72,61.38,0.97,0.97,50,64.3,39.49,61.95,0.53,0.32,62.5,9.09,92.72,1.018,12.87,14.77,6.29,48.54,67.18,22.59,20.47,14.99,60.12,81,14,23,37,0.46,48.52459016393443,77.24590163934427
505,Seth Jarvis,CAR,C,23,894167.0,1394167.0,81,1052.983333,12.99979424,69.69,49.29,58.57,49.57,35.39,58.35,32.08,23.82,57.39,3.3,1.99,62.37,2.75,2.01,57.78,30.94,22.17,58.26,12.71,8.09,61.1,1.71,0.85,66.67,24.31,18.77,56.44,1.52,1.22,55.56,63.21,43.46,59.26,0.66,0.33,66.67,10.3,91.63,1.019,12.65,13.85,8.03,41.6,61.16,22.17,19.43,18.29,54.79,81,33,34,67,0.83,48.05737045848883,41.444102464052015
595,Luke Evangelista,NSH,R,23,797500.0,825000.0,80,917.4,11.4675,66.78,55.07,54.8,48.33,38.52,55.65,33.75,27.4,55.19,2.62,2.35,52.63,2.91,2.24,56.54,33.03,25.9,56.05,12.75,9.81,56.52,1.31,1.18,52.63,27.03,21.45,55.76,1.22,1.22,50,54.04,43.17,55.59,0.57,0.38,60,7.75,91.41,0.992,10.46,10.4,4.32,47.87,70.8,20.47,16.29,10.79,65.48,80,16,23,39,0.49,47.27272727272727,68.53333333333333
604,Danton Heinen,BOS,L,29,775000.0,775000.0,74,930.75,12.5777027,55.44,59.82,48.1,40.29,44.29,47.64,28.56,29.91,48.84,3.03,2.13,58.75,2.57,2.73,48.47,26.43,26.95,49.52,10.57,12.05,46.72,1.42,1.22,53.66,21.14,19.85,51.57,1.63,0.77,67.86,43.48,51.49,45.78,0.56,0.47,54.55,10.61,92.89,1.035,8.25,12.96,9.48,49.64,46.55,14.89,17.6,18.11,45.12,74,17,19,36,0.49,46.45161290322581,62.541935483870965
557,Jake Neighbours,STL,L,22,835834.0,835834.0,77,961.55,12.48766234,50.04,67.52,42.57,36.57,48.61,42.93,25.77,34.32,42.89,2.31,2.75,45.68,2.25,3.12,41.91,24.02,31.39,43.36,10.23,13.23,43.62,1.5,1.5,50,18.39,24.21,43.16,0.58,1.08,35,42.63,56.06,43.2,0.54,0.63,46.15,8.96,92.0,1.01,9.36,11.67,7.43,45.99,55.76,16.97,17.41,16.6,50.56,77,27,11,38,0.49,45.46357291041044,50.141535280928984
564,Dakota Joshua,VAN,C,28,825000.0,825000.0,63,746.5333333,11.84973545,55.62,52.72,51.34,41.23,37.13,52.62,27.97,25.88,51.94,2.81,1.53,64.81,2.87,2.22,56.39,28.29,24.51,53.58,13.26,9.16,59.14,1.85,0.8,69.7,20.04,20.47,49.47,1.18,0.54,68.75,45.74,44.58,50.64,0.12,0.46,20,10.06,94.1,1.042,8.52,16.32,11.09,53.05,43.44,15.91,21.46,21.14,42.95,63,18,14,32,0.51,38.78787878787879,68.35151515151516
529,Tyson Foerster,PHI,R,23,863334.0,863334.0,77,1074.833333,13.95887446,64.59,54.26,54.34,45.89,35.73,56.22,31.93,23.33,57.78,2.62,2.34,52.81,2.5,2.02,55.23,27.8,24.34,53.32,11.28,8.82,56.11,1.06,1.06,50,22.03,20.69,51.57,1.49,0.97,60.61,56.28,48.06,53.94,0.65,0.81,44.44,8.22,89.95,0.982,8.99,14.35,8.54,46.89,51.27,18.14,20.82,17.58,50.78,77,20,13,33,0.43,38.2239087074064,63.972923573031984
528,Connor McMichael,WSH,C,24,863334.0,863334.0,80,1020.016667,12.75020833,54.23,61.29,46.95,37.35,43.23,46.35,24.76,29.41,45.71,1.82,2.76,39.74,2.49,2.68,48.21,26.47,27.29,49.23,11.12,11.59,48.96,1.29,1.82,41.51,20.47,20.94,49.43,0.39,1.02,27.78,43.84,49.71,46.87,0.34,0.25,57.14,7.36,90.6,0.98,10.12,16.06,7.41,45.88,57.72,18.18,20.53,14.71,55.28,80,18,15,33,0.41,38.2239087074064,55.84165572072917
459,Matthew Knies,TOR,L,22,925000.0,925000.0,80,1001.166667,12.51458333,58.49,59.39,49.62,42.85,42.79,50.03,29.25,28.29,50.83,3.24,2.52,56.25,2.61,2.73,48.84,28.59,26.55,51.85,12.71,11.51,52.48,1.86,1.38,57.41,21.18,20.06,51.36,1.2,0.8,60,49.26,51.51,48.88,0.69,0.78,47.06,11.07,91.1,1.022,8.99,13.72,7.73,46.15,53.76,18.76,18.28,17.32,51.99,80,15,20,35,0.44,37.83783783783784,52.800000000000004
605,Michael Carcone,ARI,L,28,775000.0,775000.0,74,783.6166667,10.58941441,58.12,68.53,45.89,38.59,48.7,44.21,26.26,32.54,44.66,2.91,2.91,50,2.39,3.09,43.59,25.27,33.92,42.69,10.41,14.01,42.63,1.38,1.23,52.94,19.81,26.54,42.73,0.82,1.84,30.77,50.76,54.52,48.21,1.33,0.44,75,11.08,91.06,1.021,9.26,13.71,8.88,50.53,51.05,17.3,18.3,16.92,50.56,74,21,8,29,0.39,37.41935483870968,56.245161290322585
460,Dmitri Voronkov,CBJ,L,24,925000.0,925000.0,75,825.0666667,11.00088889,62.83,64.94,49.17,44.36,45.89,49.15,31.78,32.14,49.72,2.84,2.55,52.7,2.9,2.99,49.21,28.87,30.69,48.47,11.13,13.02,46.08,1.31,0.87,60,23.66,23.56,50.1,1.36,1.26,51.85,52.52,55.57,48.59,0.74,1.05,41.18,8.92,92.08,1.01,13.45,15.27,8.87,48.43,60.26,23.85,20.29,16.87,58.57,75,18,16,34,0.45,36.75675675675676,53.199999999999996
581,Yegor Chinakhov,CBJ,R,24,800000.0,800000.0,53,650.5666667,12.27484277,60.78,63.45,48.92,42.7,44.64,48.89,29.79,32.28,47.99,3.04,2.58,54.1,2.46,2.81,46.73,28.22,29.79,48.65,9.78,11.34,46.29,1.48,0.83,64,24.59,24.59,50.0,1.6,1.48,52,48.49,55.15,46.79,0.53,0.93,36.36,10.22,92.0,1.022,10.33,16.79,10.42,39.75,49.78,19.09,21.58,18.63,50.61,53,16,13,29,0.55,36.25,58.412499999999994
